name,age,DOB,DOE,salary,status,pst,tst,tx,Total Capital,premie, sex
James_S._Henry,26,1997-10-24,2023-03-23,96338,DEF,0,42,1.0,0.0,7228.403168592293,1
Christopher_McLeod,32,1991-10-08,2018-07-26,115771,DEF,5,37,1.0,0.0,9994.871861207554,1
Antonio_Carestia,65,1958-05-18,1992-11-14,27755,ACT,31,11,1.0,0.0,2107.765046562309,2
Gezi_Cohen,58,1965-03-02,2023-11-25,95816,ACT,0,42,0.8,0.0,7572.734094507409,2
Abu_Tahir_Marwazi,64,1959-07-21,2007-09-17,50592,ACT,16,26,1.0,0.0,2418.91334998184,1
Skule_Bårdsson,55,1968-01-23,1995-06-23,59715,ACT,28,14,1.0,0.0,4197.116867594793,2
Lance_Newnham,61,1962-04-18,1989-05-08,57942,DEF,34,8,1.0,0.0,5081.537196204862,1
Rudolf_Coraduz_von_und_zu_Nußdorf,39,1984-04-13,2015-04-11,51098,DEF,8,34,1.0,0.0,3281.662928525238,2
Ernst_Sellin,32,1991-09-25,2021-06-01,112140,ACT,2,40,0.8,0.0,6867.907013075435,2
Filippo_Severati,37,1986-10-24,2020-01-12,38956,DEF,3,39,0.5,0.0,481.36100885110613,2
Georg_Stuchs,30,1993-05-05,2022-03-15,94166,ACT,1,41,1.0,0.0,7192.59410032228,2
Giuseppe_Ragazzini,50,1973-11-21,1998-10-10,54176,DEF,25,17,1.0,0.0,2428.4495654926136,1
Samuel_Itondo,45,1978-07-21,2015-02-17,47469,ACT,8,34,1.0,0.0,2551.145861144044,2
Albemarle_Cady,48,1975-04-04,2022-07-21,89338,ACT,1,41,1.0,0.0,5845.117640514406,1
Brant_Pinvidic,41,1982-06-21,2011-06-07,97502,DEF,12,30,1.0,0.0,5615.8876700213905,2
Jane_Goude,38,1985-02-11,2013-09-06,65157,ACT,10,32,1.0,0.0,4338.863301849756,1
Adam_Federici,51,1972-01-08,2019-08-07,91400,ACT,4,38,1.0,0.0,5055.100125897527,2
Guo_Liang_(footballer),57,1966-09-16,2021-06-05,39906,ACT,2,40,0.5,0.0,1158.9632279870011,1
Ashley_Sharp,62,1961-01-23,1986-12-22,49774,ACT,37,5,1.0,0.0,2953.7470886621827,2
Kevin_Meates,53,1970-09-14,2001-09-01,93612,DEF,22,20,1.0,0.0,4592.979133438515,1
Anthony_Raine_Barker,32,1991-02-10,2017-09-12,83354,ACT,6,36,0.8,0.0,4604.441200211951,1
Seema_Deo,30,1993-07-22,2018-11-21,50211,ACT,5,37,1.0,0.0,4305.930867416258,2
Rolo_Duarte,57,1966-11-07,2000-02-06,108520,ACT,23,19,1.0,0.0,7725.268786971641,2
Steffen_Riekers,58,1965-07-23,1992-01-17,87269,ACT,31,11,1.0,0.0,4038.054544987486,2
Fabio_Albarelli,48,1975-09-27,2010-04-13,64851,ACT,13,29,1.0,0.0,4973.354615114385,2
Albino_(Rapper),67,1956-03-12,1993-01-21,75278,ACT,30,12,0.8,0.0,3994.7564157414713,2
Ella_Büchi,37,1986-04-18,2020-09-16,77808,DEF,3,39,1.0,0.0,4917.986027094912,2
Michael_Ferro,40,1983-12-05,2016-07-03,64640,ACT,7,35,0.5,0.0,3782.5678947072774,2
Douglas_Wright_(dancer),30,1993-09-11,2018-08-14,26254,ACT,5,37,1.0,0.0,1563.5721225886114,1
Massimo_Pallottino,50,1973-12-16,2004-09-16,75928,ACT,19,23,1.0,0.0,5830.397427641476,2
